,imonth,ncasualties,country_txt_code,region_txt_code,target1_code,targettype_txt_code,attacktype_txt_code
0,7,1,45,1,31401,13,1
1,0,0,114,6,37488,5,6
2,1,1,137,9,21436,7,1
3,1,0,66,11,60318,5,2
4,1,0,186,6,11810,12,0
5,1,0,187,7,31224,12,1
6,1,0,186,6,44737,9,3
7,1,0,186,6,48721,6,3
8,1,0,186,6,40241,6,3
9,1,0,46,4,31435,6,2
10,1,0,186,6,30123,3,2
11,1,0,186,6,24643,2,2
12,1,0,186,6,24341,2,3
13,1,1,186,6,13278,12,3
14,1,0,187,7,48454,3,0
15,1,0,186,6,32871,3,2
16,1,0,186,6,6367,9,2
17,1,0,186,6,26304,21,3
18,1,1,69,1,10569,5,1
19,1,0,137,9,31436,5,2
20,1,0,191,7,32822,2,6
21,1,0,186,6,61046,13,2
22,1,2,186,6,38114,12,0
23,1,0,186,6,16689,6,2
24,1,0,186,6,38113,12,0
25,1,0,186,6,48731,6,3
26,1,0,186,6,61046,19,2
27,1,0,186,6,993,2,2
28,1,0,186,6,8747,9,3
29,2,0,186,6,28154,12,0
30,2,0,186,6,34948,2,3
31,2,0,186,6,6835,2,3
32,2,0,186,6,6834,2,3
33,2,0,186,6,61046,13,2
34,2,0,186,6,19157,18,2
35,2,0,186,6,24031,6,2
36,2,0,186,6,48729,6,3
37,2,0,186,6,61046,20,3
38,2,0,186,6,47977,2,3
39,2,0,186,6,44697,2,2
40,2,0,186,6,11124,2,2
41,2,0,186,6,24644,2,2
42,2,1,194,11,20833,1,0
43,2,7,186,6,42422,12,2
44,2,16,194,11,30365,13,3
45,2,7,186,6,10314,12,2
46,2,0,186,6,13366,2,2
47,2,1,186,6,44738,9,3
48,2,1,186,6,42596,12,2
49,2,0,186,6,47953,12,0
50,2,0,186,6,18606,3,2
51,2,0,186,6,8701,9,2
52,2,0,186,6,61046,12,2
53,2,0,186,6,61046,12,2
54,2,0,186,6,60801,6,3
55,2,0,186,6,17142,3,3
56,2,0,186,6,17797,3,2
57,2,0,194,11,9373,1,2
58,2,47,171,11,51842,1,2
59,2,0,186,6,13355,12,3
60,2,0,186,6,8749,9,3
61,2,0,186,6,31278,13,2
62,2,0,186,6,30092,13,3
63,2,0,186,6,20276,3,3
64,2,0,186,6,63450,20,2
65,2,0,186,6,43382,20,2
66,2,0,186,6,43382,20,2
67,2,0,186,6,43382,20,2
68,2,0,186,6,43382,20,2
69,2,0,186,6,48725,9,2
70,2,0,186,6,63348,13,2
71,2,0,186,6,44739,9,3
72,2,0,186,6,28925,3,2
73,3,0,137,9,60318,5,2
74,3,0,85,11,21898,1,2
75,3,0,186,6,6368,9,2
76,3,0,186,6,48722,9,3
77,3,0,186,6,41869,12,3
78,3,0,186,6,41869,12,2
79,3,0,186,6,24020,13,3
80,3,0,163,11,24456,6,6
81,3,0,186,6,43232,6,2
82,3,0,186,6,38523,9,2
83,3,2,186,6,60004,9,1
84,3,0,69,1,48407,5,6
85,3,0,186,6,19552,12,2
86,3,0,186,6,19553,12,2
87,3,0,186,6,10458,13,3
